label,city,state,lon,lat,m4m,m4w,w4m,w4w,k1,c1,k2,c2,k3,c3,k4,c4,k5,c5
city,baltimore,OH,-82.665141,39.77796,2701,1051,218,154,m4m,636,top,232,guy,213,bottom,212,fun,174
city,san luis obispo,CA,-120.455345,35.347065,142,143,36,36,m4m,45,fun,19,guy,17,need,17,hosting,14
city,owensboro,KY,-87.112823,37.745491,0,0,0,39,fun,3,girl,3,lady,3,real,3,fem,2
city,meadville,MO,-93.295805,39.795407,0,0,0,37,friends,4,fem,3,female,3,w4w,3,wanted,3
city,corpus christi,TX,-97.463213,27.777,176,178,45,33,m4m,48,fun,20,woman,19,good,18,ltr,18
city,tuscarawas co,OH,-81.406883,40.395881,6,14,11,45,friends,7,bi,5,fem,5,friend,5,u,5
city,odessa,WA,-118.658816,47.344402,76,153,40,39,fun,23,m4m,18,seeking,13,cock,12,good,12
city,huntsville,UT,-111.715855,41.266035,152,215,49,29,m4m,30,seeking,27,fun,19,girl,17,need,16
city,"erie, PA",PA,-80.064915,42.182748,44,80,57,23,guy,13,out,11,woman,11,m4m,10,m4w,10
city,williamsport,IN,-87.403882,40.314172,52,43,24,69,fun,14,bi,11,woman,10,female,9,seeking,9
city,atlanta,ID,-115.253751,43.847915,7901,3263,771,809,m4m,1867,top,869,seeking,695,guy,662,black,655
city,stillwater,OK,-96.987458,36.093665,22,49,32,37,fun,8,need,8,girl,7,someone,7,friend,5
city,mason city,NE,-99.37871,41.283369,36,0,0,0,m4m,10,fun,4,guy,4,relationship,4,discreet,3
city,bowling green,MO,-91.174859,39.316369,44,58,27,41,seeking,12,m4m,8,out,8,friend,7,good,6
city,bemidji,MN,-94.822154,47.625699,8,11,11,52,friends,7,love,7,something,7,more,6,w4w,6
city,des moines,NM,-103.505541,36.369783,125,333,106,47,seeking,33,woman,28,fun,27,good,24,ltr,24
city,oklahoma city,OK,-97.407537,35.551409,1244,825,150,73,m4m,319,need,123,guy,116,fun,111,seeking,109
city,iowa city,IA,-91.589264,41.600628,12,54,21,51,fun,14,girl,10,seeking,8,love,7,man,7
city,seattle,WA,-122.264256,47.776875,400,258,77,38,m4m,118,guy,43,cock,32,want,30,woman,30
city,salina,UT,-111.908156,38.921403,0,0,0,38,woman,5,w4w,4,female,3,friend,3,fun,3
city,kalispell,MT,-114.256123,48.240382,8,39,16,58,girl,12,friends,9,friend,8,guy,6,more,6
city,annapolis,CA,-123.386924,38.710387,73,71,41,4,fun,11,m4m,11,mwm,11,guy,9,man,8
city,"wilmington, NC",NC,-77.91859,34.127458,81,189,63,20,guy,19,real,17,woman,16,m4m,14,seeking,14
city,myrtle beach,SC,,,144,181,38,0,m4m,51,fun,17,m4w,17,woman,17,friend,14
city,utica,NE,-97.292178,40.938023,38,89,31,59,m4m,15,fun,13,seeking,12,ltr,10,female,9
city,ashtabula,OH,-80.955313,41.730146,6,32,5,48,guy,7,friends,6,u,6,fem,5,female,5
city,chautauqua,KS,-96.178281,37.026243,13,30,14,72,friends,9,girl,9,new,8,real,7,w4w,7
city,indianapolis,IN,-86.132837,39.779492,1402,703,156,88,m4m,353,need,123,suck,114,guy,109,seeking,105
city,columbia,CA,-120.363545,38.061003,480,328,115,47,m4m,145,seeking,54,top,54,want,52,white,46
city,zanesville,IN,-85.282422,40.918797,14,22,14,70,girl,8,w4w,8,woman,8,bbw,7,fun,6
city,sacramento,CA,-121.444429,38.377411,357,142,37,0,m4m,98,bottom,39,guy,33,top,33,cock,31
city,kansas city,KS,-94.749538,39.096551,2159,1121,249,85,m4m,344,bottom,194,need,184,guy,174,top,162
city,"washington, DC",DC,-77.014647,38.893311,991,279,82,20,m4m,239,top,108,bottom,100,guy,81,fun,73
city,chattanooga,OK,-98.654352,34.424316,202,218,74,27,m4m,55,friend,26,fun,26,man,23,seeking,22
city,south bend,WA,-123.834262,46.588006,75,150,39,0,seeking,17,fun,12,love,12,woman,12,man,10
city,abilene,TX,-99.711665,32.466474,39,69,16,68,m4m,14,seeking,10,fun,8,girl,8,m4w,8
city,el paso,TX,-106.299987,31.694842,866,462,96,56,m4m,179,guy,76,bottom,59,fun,58,top,57
city,grand rapids,MN,-93.921429,47.087782,136,345,69,68,seeking,36,man,32,guy,31,girl,28,woman,26
city,"sheboygan, WI",WI,-87.860803,43.775428,0,0,0,37,seeking,4,stud,4,woman,4,dating,3,searching,3
city,southwest KS,PA,-79.439801,40.360223,13,16,24,20,female,8,maybe,7,fun,6,girl,6,more,6
city,twin falls,ID,-114.519536,42.456273,16,52,18,71,fun,10,woman,9,man,8,seeking,8,w4w,8
city,"columbus, OH",OH,-83.011389,39.969036,1746,889,195,70,m4m,411,guy,144,fun,134,seeking,123,suck,120
city,savannah,MO,-94.837827,39.953094,152,220,38,39,m4m,36,guy,22,seeking,21,single,20,fun,17
city,mendocino co,CA,-123.734377,39.319949,0,0,0,34,more,6,bi,5,friends,3,girl,3,maybe,3
